team_id,fifa_code,team_name,confederation,qualification_status,qualification_method,qualification_date,group_name,seed_pot,api_provider,api_team_id,flag_url,notes
T-PANAMA,PAN,Panama,CONCACAF,QUALIFIED,Qualified,,Group L,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-PARAGUAY,PAR,Paraguay,CONMEBOL,QUALIFIED,Qualified,,Group D,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-PORTUGAL,POR,Portugal,UEFA,QUALIFIED,Qualified,,Group K,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-QATAR,QAT,Qatar,AFC,QUALIFIED,Qualified,,Group B,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SAUDI-ARABIA,SA,Saudi Arabia,AFC,QUALIFIED,Qualified,,Group H,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SCOTLAND,SCO,Scotland,UEFA,QUALIFIED,Qualified,,Group C,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SENEGAL,SEN,Senegal,CAF,QUALIFIED,Qualified,,Group I,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SOUTH-AFRICA,RSA,South Africa,CAF,QUALIFIED,Qualified,,Group A,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SOUTH-KOREA,KOR,South Korea,AFC,QUALIFIED,Qualified,,Group A,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SPAIN,SPA,Spain,UEFA,QUALIFIED,Qualified,,Group H,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SWEDEN,SWE,Sweden,UEFA,QUALIFIED,Qualified,,Group F,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SWITZERLAND,SWI,Switzerland,UEFA,QUALIFIED,Qualified,,Group B,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-TUNISIA,TUN,Tunisia,CAF,QUALIFIED,Qualified,,Group F,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-TURKEY,TUR,Turkey,UEFA,QUALIFIED,Qualified,,Group D,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-USA,USA,USA,CONCACAF,QUALIFIED,Host,,Group D,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-URUGUAY,URU,Uruguay,CONMEBOL,QUALIFIED,Qualified,,Group H,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-UZBEKISTAN,UZB,Uzbekistan,AFC,QUALIFIED,Qualified,,Group K,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
